Name,Version,Source
7-Zip 19.00 (x64),19.00,Registry
Anaconda3 py310_2023.03-0 (Python 3.10.9 64-bit),py310_2023.03-0,Registry
Apache Tomcat 9.0 Tomcat9 (remove only),9.0.73,Registry
Git,2.33.0.2,Registry
Microsoft Office Home and Student 2019 - en-us,16.0.18429.20158,Registry
GDR 2269 for SQL Server 2014 (KB3045324) (64-bit),12.0.2269.0,Registry
Microsoft Help Viewer 1.1,1.1.40219,Registry
Microsoft Visual Studio 2010 Tools for Office Runtime (x64),10.0.50903,Registry
Mozilla Firefox (x64 en-US),135.0.1,Registry
Notepad++ (64-bit x64),8.5,Registry
R for Windows 4.0.2,4.0.2,Registry
Microsoft Windows SDK for Windows 7 (7.1),7.1.7600.0.30514,Registry
TeamViewer,15.30.3,Registry
Microsoft SQL Server 2014 Transact-SQL ScriptDom ,12.0.2000.8,Registry
SQL Server 2014 Reporting Services,12.0.2000.8,Registry
PuTTY release 0.74 (64-bit),0.74.0.0,Registry
SQL Server 2014 Database Engine Services,12.0.2000.8,Registry
SQL Server 2014 Documentation Components,12.0.2000.8,Registry
Microsoft Update Health Tools,3.74.0.0,Registry
SQL Server 2014 Client Tools,12.0.2000.8,Registry
Microsoft Web Deploy 4.0,10.0.3802,Registry
Microsoft Windows SDK for Windows 7 (7.1),7.1.30514,Registry
Intel(R) Chipset Device Software,10.1.18019.8144,Registry
Microsoft VSS Writer for SQL Server 2014,12.0.2000.8,Registry
Microsoft SQL Server 2014 Setup (English),12.0.2269.0,Registry
MySQL Shell 8.0.27,8.0.27,Registry
Microsoft SQL Server 2012 Native Client ,11.0.2100.60,Registry
SQL Server 2014 Database Engine Services,12.0.2000.8,Registry
Microsoft SQL Server 2014 Transact-SQL Compiler Service ,12.0.2269.0,Registry
SQL Server 2014 Documentation Components,12.0.2000.8,Registry
Microsoft SQL Server 2008 Setup Support Files ,10.3.5500.0,Registry
Sql Server Customer Experience Improvement Program,12.0.2000.8,Registry
Java SE Development Kit 8 Update 202 (64-bit),8.0.2020.8,Registry
Java SE Development Kit 8 Update 311 (64-bit),8.0.3110.11,Registry
